student_id,semester,attendance_percentage,internal_marks,assignment_marks,study_hours_per_day,previous_sgpa,backlogs,lab_performance,participation,final_sgpa,performance
VTU34654,6,71.9,21.2,22.5,3.0,5.77,2,72.1,61.6,6.01,Average
VTU41963,7,79.8,28.9,23.2,4.8,8.38,0,70.4,69.0,6.0,Good
VTU39591,8,75.5,38.3,32.8,2.5,7.06,0,68.6,59.7,7.26,Good
VTU81036,4,41.7,14.7,23.6,1.1,5.03,2,59.0,9.5,5.67,Poor
VTU10981,1,42.7,34.9,29.3,4.5,5.82,2,78.6,39.4,5.33,Average
VTU56300,3,69.6,27.3,30.6,5.7,8.07,1,74.2,55.7,6.88,Good
VTU61549,3,88.2,29.7,33.3,3.0,6.61,1,80.6,68.9,7.86,Good
VTU88401,4,81.4,30.7,24.2,4.3,9.02,0,94.4,89.7,7.85,Excellent
VTU44324,1,73.3,27.6,33.8,5.0,7.58,1,77.0,68.4,6.4,Good
VTU55208,7,72.2,40.5,31.9,4.6,7.6,2,66.4,91.7,6.72,Good
VTU53528,1,79.8,38.3,20.1,2.1,7.29,3,83.2,76.1,6.0,Good
VTU26971,5,55.7,23.6,33.2,3.4,4.31,4,79.2,72.7,6.12,Average
VTU73218,8,71.3,11.7,14.9,2.9,4.94,4,68.1,5.4,5.42,Poor
VTU65891,6,73.7,31.9,38.7,4.9,8.34,0,82.3,92.8,8.7,Good
VTU42222,7,77.3,37.6,30.3,4.9,6.05,0,79.9,68.2,7.33,Good
VTU97866,3,89.3,35.0,33.1,10.3,8.04,0,88.9,78.3,8.92,Excellent
VTU12251,3,73.8,30.9,32.5,3.7,5.71,2,62.1,79.7,6.82,Average
VTU69437,5,89.4,36.5,22.2,3.7,7.27,0,71.7,62.9,8.62,Good
VTU38433,5,89.1,25.0,40.6,4.1,6.13,0,80.5,54.8,6.0,Good
VTU40890,1,62.3,39.5,29.5,3.3,7.35,0,79.5,79.4,7.27,Good
VTU30999,5,50.8,32.8,28.9,4.4,5.59,4,64.7,43.3,6.23,Average
VTU56146,6,74.6,30.8,29.1,2.7,8.04,0,82.9,69.3,6.97,Good
VTU95414,5,89.0,47.9,42.0,8.8,8.38,0,85.6,56.7,9.33,Excellent
VTU22156,6,66.3,20.6,16.9,3.0,6.96,1,76.3,44.7,6.76,Average
VTU17614,8,84.1,28.7,30.5,0.8,5.53,4,49.7,38.0,5.89,Average
VTU56444,6,85.2,32.2,26.2,2.8,7.41,0,71.0,93.8,8.0,Good
VTU98400,6,92.0,36.6,26.4,7.8,8.28,0,80.2,91.7,8.85,Excellent
VTU24053,7,65.0,21.5,36.0,3.7,6.38,1,54.4,67.8,5.3,Average
VTU50243,5,75.7,40.0,34.2,3.4,7.31,0,85.1,68.7,6.86,Good
VTU58999,8,60.8,45.1,31.6,3.4,6.8,0,65.8,84.9,7.36,Good
VTU31345,8,62.9,18.1,26.2,3.9,5.46,5,69.7,51.2,6.12,Average
VTU61242,2,71.5,37.6,32.4,4.6,6.99,2,80.8,69.6,7.65,Good
VTU92530,2,80.8,41.9,37.6,6.9,8.73,0,88.5,85.6,9.12,Excellent
VTU80829,8,59.2,30.0,33.0,2.5,5.18,4,45.2,35.9,5.99,Poor
VTU51726,3,79.2,34.7,36.1,6.9,6.53,0,84.5,82.2,7.82,Good
VTU33880,2,59.2,25.8,25.9,0.6,5.3,1,65.8,50.8,6.28,Average
VTU83007,4,53.5,11.5,22.9,3.2,4.88,2,45.0,19.5,4.67,Poor
VTU73909,7,49.6,13.4,1.3,2.4,3.52,6,39.8,33.2,5.87,Poor
VTU67247,1,66.7,30.4,30.9,3.7,7.36,1,83.4,44.3,8.7,Good
VTU88808,1,84.9,40.5,37.8,4.3,8.17,0,79.3,85.6,8.94,Excellent
VTU13122,5,55.0,26.8,22.7,0.9,6.37,2,60.6,85.0,6.24,Average
VTU08258,2,67.2,27.2,29.7,3.9,6.0,1,48.6,47.4,5.89,Average
VTU93381,4,88.8,39.4,38.6,5.7,8.03,0,94.4,85.6,7.75,Excellent
VTU13915,1,65.9,21.4,30.9,1.8,6.59,0,61.0,81.1,5.15,Average
VTU30903,2,60.1,30.8,24.4,5.0,5.25,0,75.4,37.1,4.8,Average
VTU72859,5,52.6,12.3,20.5,0.8,5.26,1,51.2,47.9,6.0,Poor
VTU20293,7,74.8,24.4,24.4,3.2,6.45,2,63.2,52.6,6.24,Average
VTU58171,6,71.8,36.1,29.6,2.4,6.96,0,83.4,75.4,7.34,Good
VTU20950,1,78.2,30.7,30.7,4.8,5.07,2,46.8,38.5,7.23,Average
VTU36695,8,67.0,20.0,20.6,6.8,5.35,2,79.1,55.2,6.24,Average
VTU08526,2,55.0,30.2,22.2,1.1,6.26,2,71.3,46.9,6.91,Average
VTU78272,3,49.0,11.3,15.4,1.8,4.52,0,56.7,42.7,4.4,Poor
VTU77403,5,53.9,15.7,8.8,2.9,4.86,2,64.3,34.4,4.61,Poor
